y/t.1; p2 (kPa); p02 (kPa); a2 (°); z (1); w (1); ds (J/kgK); T (K)
0.0;78.529;96.752;45.786;0.03;0.019;1.882;281.939
0.0024;78.576;96.847;45.797;0.025;0.016;1.598;281.908
0.0048;78.591;96.917;45.808;0.022;0.014;1.391;281.864
0.0072;78.587;96.984;45.819;0.019;0.012;1.193;281.805
0.0095;78.574;97.036;45.826;0.016;0.01;1.04;281.749
0.0119;78.564;97.08;45.831;0.014;0.009;0.91;281.703
0.0143;78.56;97.117;45.843;0.013;0.008;0.801;281.668
0.0167;78.559;97.151;45.856;0.011;0.007;0.7;281.638
0.0191;78.556;97.184;45.877;0.009;0.006;0.603;281.608
0.0215;78.555;97.216;45.901;0.008;0.005;0.509;281.581
0.0239;78.555;97.246;45.923;0.007;0.004;0.419;281.556
0.0263;78.557;97.272;45.94;0.005;0.003;0.341;281.535
0.0287;78.557;97.294;45.956;0.004;0.003;0.278;281.517
0.031;78.555;97.31;45.972;0.004;0.002;0.231;281.502
0.0334;78.555;97.32;45.989;0.003;0.002;0.2;281.493
0.0358;78.555;97.326;46.007;0.003;0.002;0.182;281.489
0.0382;78.557;97.329;46.024;0.003;0.002;0.173;281.489
0.0406;78.56;97.33;46.043;0.003;0.002;0.17;281.49
0.043;78.565;97.331;46.061;0.003;0.002;0.169;281.495
0.0454;78.571;97.331;46.081;0.003;0.002;0.169;281.502
0.0478;78.579;97.331;46.101;0.003;0.002;0.169;281.509
0.0501;78.586;97.331;46.124;0.003;0.002;0.169;281.517
0.0525;78.594;97.331;46.145;0.003;0.002;0.169;281.525
0.0549;78.6;97.331;46.168;0.003;0.002;0.169;281.531
0.0573;78.605;97.331;46.19;0.003;0.002;0.169;281.536
0.0597;78.61;97.331;46.21;0.003;0.002;0.169;281.541
0.0621;78.615;97.331;46.229;0.003;0.002;0.168;281.546
0.0645;78.62;97.331;46.244;0.003;0.002;0.168;281.552
0.0669;78.625;97.331;46.26;0.003;0.002;0.168;281.557
