y/t.1; p2 (kPa); p02 (kPa); a2 (°); z (1); w (1); ds (J/kgK); T (K)
0.0;79.816;97.927;47.298;0.003;0.002;0.19;280.012
0.0024;79.856;97.927;47.291;0.003;0.002;0.19;280.052
0.0048;79.889;97.927;47.28;0.003;0.002;0.19;280.085
0.0072;79.911;97.927;47.268;0.003;0.002;0.191;280.108
0.0096;79.931;97.927;47.242;0.003;0.002;0.191;280.127
0.012;79.947;97.927;47.218;0.003;0.002;0.191;280.144
0.0144;79.962;97.927;47.201;0.003;0.002;0.192;280.159
0.0168;79.975;97.926;47.183;0.003;0.002;0.192;280.171
0.0192;79.985;97.926;47.166;0.003;0.002;0.192;280.182
0.0215;79.994;97.926;47.149;0.003;0.002;0.193;280.191
0.0239;80.008;97.926;47.132;0.003;0.002;0.193;280.205
0.0263;80.02;97.926;47.12;0.003;0.002;0.193;280.217
0.0287;80.029;97.926;47.111;0.003;0.002;0.194;280.227
0.0311;80.037;97.926;47.105;0.003;0.002;0.194;280.234
0.0335;80.044;97.926;47.103;0.003;0.002;0.195;280.241
0.0359;80.05;97.925;47.104;0.003;0.002;0.195;280.247
0.0383;80.054;97.925;47.102;0.003;0.002;0.195;280.252
0.0407;80.058;97.925;47.1;0.003;0.002;0.196;280.256
0.0431;80.061;97.925;47.099;0.003;0.002;0.196;280.259
0.0455;80.063;97.925;47.09;0.003;0.002;0.196;280.261
0.0479;80.064;97.925;47.078;0.003;0.002;0.197;280.262
0.0503;80.065;97.925;47.065;0.003;0.002;0.197;280.263
0.0527;80.066;97.925;47.052;0.003;0.002;0.198;280.264
0.0551;80.066;97.924;47.042;0.003;0.002;0.198;280.264
0.0575;80.066;97.924;47.029;0.003;0.002;0.199;280.264
0.0599;80.066;97.924;47.016;0.003;0.002;0.199;280.264
0.0623;80.066;97.924;46.989;0.003;0.002;0.199;280.264
0.0647;80.065;97.924;46.951;0.003;0.002;0.2;280.264
0.0671;80.065;97.924;46.903;0.003;0.002;0.2;280.264
0.0694;80.065;97.924;46.851;0.003;0.002;0.201;280.264
0.0718;80.065;97.923;46.8;0.003;0.002;0.201;280.264
0.0742;80.065;97.923;46.748;0.003;0.002;0.202;280.264
0.0766;80.065;97.923;46.701;0.003;0.002;0.202;280.265
0.079;80.066;97.923;46.653;0.003;0.002;0.202;280.266
0.0814;80.068;97.923;46.615;0.003;0.002;0.203;280.268
0.0838;80.071;97.923;46.586;0.003;0.002;0.203;280.271
0.0862;80.074;97.922;46.559;0.003;0.002;0.204;280.274
0.0886;80.078;97.922;46.534;0.003;0.002;0.204;280.278
0.091;80.082;97.922;46.498;0.003;0.002;0.205;280.283
0.0934;80.087;97.922;46.459;0.003;0.002;0.205;280.288
0.0958;80.092;97.922;46.418;0.003;0.002;0.206;280.293
0.0982;80.098;97.922;46.389;0.003;0.002;0.206;280.298
0.1006;80.103;97.922;46.376;0.003;0.002;0.206;280.304
0.103;80.108;97.921;46.375;0.003;0.002;0.207;280.309
0.1054;80.114;97.921;46.388;0.003;0.002;0.207;280.315
0.1078;80.119;97.921;46.405;0.003;0.002;0.208;280.32
0.1102;80.124;97.921;46.425;0.004;0.002;0.208;280.325
0.1125;80.129;97.921;46.439;0.004;0.002;0.209;280.33
0.1149;80.133;97.921;46.46;0.004;0.002;0.209;280.335
0.1173;80.138;97.92;46.48;0.004;0.002;0.21;280.339
0.1197;80.141;97.92;46.496;0.004;0.002;0.21;280.343
0.1221;80.144;97.92;46.51;0.004;0.002;0.211;280.346
0.1245;80.146;97.92;46.528;0.004;0.002;0.211;280.348
0.1269;80.148;97.92;46.56;0.004;0.002;0.211;280.35
0.1293;80.148;97.92;46.6;0.004;0.002;0.212;280.35
0.1317;80.147;97.92;46.65;0.004;0.002;0.212;280.35
