y/t.1; p2 (kPa); p02 (kPa); a2 (°); z (1); w (1); ds (J/kgK); T (K)
0.0;76.371;97.67;47.833;0.0;0.0;0.004;274.94
0.0024;76.366;97.672;47.781;0.0;0.0;0.0;274.934
0.0048;76.328;97.672;47.741;0.0;0.0;0.0;274.895
0.0071;76.309;97.672;47.708;0.0;0.0;0.0;274.875
0.0095;76.302;97.672;47.678;0.0;0.0;0.0;274.868
0.0119;76.298;97.672;47.649;0.0;0.0;0.0;274.864
0.0143;76.294;97.665;47.623;0.0;0.0;0.022;274.866
0.0167;76.294;97.649;47.598;0.001;0.001;0.068;274.879
0.0191;76.294;97.633;47.57;0.002;0.001;0.113;274.891
0.0214;76.292;97.62;47.545;0.002;0.002;0.153;274.9
0.0238;76.287;97.61;47.522;0.002;0.002;0.183;274.903
0.0262;76.28;97.603;47.5;0.003;0.002;0.204;274.902
0.0286;76.28;97.597;47.479;0.003;0.002;0.221;274.906
0.031;76.282;97.59;47.46;0.003;0.002;0.24;274.913
0.0333;76.284;97.582;47.441;0.004;0.003;0.265;274.922
0.0357;76.286;97.571;47.424;0.004;0.003;0.296;274.933
0.0381;76.29;97.558;47.408;0.005;0.003;0.335;274.947
0.0405;76.292;97.546;47.392;0.005;0.004;0.372;274.96
0.0429;76.294;97.535;47.378;0.005;0.004;0.403;274.97
0.0452;76.296;97.528;47.365;0.006;0.004;0.424;274.978
0.0476;76.298;97.524;47.353;0.006;0.004;0.434;274.983
0.05;76.302;97.525;47.342;0.006;0.004;0.432;274.986
0.0524;76.305;97.528;47.332;0.006;0.004;0.423;274.987
0.0548;76.307;97.532;47.323;0.006;0.004;0.411;274.986
0.0571;76.308;97.537;47.314;0.005;0.004;0.397;274.983
0.0595;76.309;97.542;47.306;0.005;0.004;0.383;274.981
0.0619;76.311;97.546;47.299;0.005;0.004;0.37;274.979
0.0643;76.315;97.55;47.292;0.005;0.004;0.359;274.979
0.0667;76.319;97.554;47.287;0.005;0.003;0.347;274.981
0.0691;76.324;97.557;47.282;0.005;0.003;0.337;274.983
0.0714;76.328;97.561;47.277;0.004;0.003;0.327;274.984
0.0738;76.331;97.564;47.273;0.004;0.003;0.318;274.985
0.0762;76.333;97.567;47.269;0.004;0.003;0.309;274.985
0.0786;76.336;97.57;47.266;0.004;0.003;0.3;274.985
0.081;76.338;97.573;47.264;0.004;0.003;0.292;274.985
0.0833;76.339;97.575;47.261;0.004;0.003;0.284;274.984
0.0857;76.341;97.578;47.26;0.004;0.003;0.277;274.984
0.0881;76.343;97.58;47.258;0.004;0.003;0.269;274.984
0.0905;76.345;97.583;47.257;0.004;0.003;0.263;274.985
0.0929;76.347;97.585;47.256;0.003;0.003;0.256;274.984
0.0953;76.346;97.587;47.255;0.003;0.003;0.25;274.982
0.0976;76.344;97.589;47.254;0.003;0.002;0.245;274.978
0.1;76.342;97.591;47.254;0.003;0.002;0.24;274.975
0.1024;76.34;97.592;47.253;0.003;0.002;0.235;274.972
0.1048;76.339;97.594;47.253;0.003;0.002;0.23;274.969
0.1072;76.337;97.595;47.253;0.003;0.002;0.226;274.967
0.1095;76.335;97.596;47.253;0.003;0.002;0.222;274.963
0.1119;76.332;97.597;47.252;0.003;0.002;0.219;274.959
0.1143;76.328;97.598;47.252;0.003;0.002;0.216;274.954
0.1167;76.323;97.599;47.252;0.003;0.002;0.214;274.948
0.1191;76.317;97.6;47.251;0.003;0.002;0.211;274.942
0.1215;76.313;97.601;47.251;0.003;0.002;0.21;274.937
0.1238;76.308;97.601;47.25;0.003;0.002;0.208;274.931
0.1262;76.302;97.602;47.25;0.003;0.002;0.207;274.925
0.1286;76.296;97.602;47.249;0.003;0.002;0.206;274.919
0.131;76.292;97.602;47.248;0.003;0.002;0.206;274.914
0.1334;76.286;97.602;47.248;0.003;0.002;0.206;274.909
0.1357;76.281;97.602;47.247;0.003;0.002;0.207;274.903
0.1381;76.276;97.601;47.246;0.003;0.002;0.208;274.898
0.1405;76.272;97.601;47.245;0.003;0.002;0.209;274.895
0.1429;76.269;97.6;47.244;0.003;0.002;0.21;274.892
0.1453;76.268;97.6;47.243;0.003;0.002;0.212;274.892
0.1476;76.266;97.599;47.243;0.003;0.002;0.215;274.89
0.15;76.264;97.598;47.243;0.003;0.002;0.218;274.889
0.1524;76.262;97.597;47.243;0.003;0.002;0.221;274.887
0.1548;76.259;97.596;47.244;0.003;0.002;0.224;274.886
0.1572;76.258;97.594;47.245;0.003;0.002;0.228;274.885
0.1595;76.258;97.593;47.246;0.003;0.002;0.233;274.886
0.1619;76.26;97.591;47.247;0.003;0.002;0.237;274.89
0.1643;76.263;97.59;47.249;0.003;0.002;0.243;274.895
0.1667;76.267;97.588;47.251;0.003;0.002;0.248;274.9
0.1691;76.272;97.586;47.253;0.003;0.003;0.254;274.907
0.1715;76.279;97.584;47.255;0.004;0.003;0.26;274.915
0.1738;76.286;97.581;47.258;0.004;0.003;0.267;274.925
0.1762;76.294;97.579;47.26;0.004;0.003;0.274;274.935
0.1786;76.302;97.576;47.263;0.004;0.003;0.282;274.946
0.181;76.311;97.573;47.266;0.004;0.003;0.292;274.958
0.1834;76.321;97.569;47.269;0.004;0.003;0.303;274.971
0.1857;76.333;97.564;47.272;0.004;0.003;0.319;274.987
0.1881;76.345;97.557;47.274;0.005;0.003;0.339;275.005
0.1905;76.357;97.549;47.277;0.005;0.004;0.362;275.024
0.1929;76.37;97.541;47.28;0.005;0.004;0.387;275.045
0.1953;76.385;97.533;47.283;0.006;0.004;0.409;275.065
0.1977;76.399;97.527;47.285;0.006;0.004;0.425;275.085
0.2;76.414;97.526;47.289;0.006;0.004;0.429;275.101
0.2024;76.427;97.529;47.292;0.006;0.004;0.421;275.112
0.2048;76.438;97.535;47.295;0.006;0.004;0.402;275.118
0.2072;76.446;97.544;47.299;0.005;0.004;0.375;275.119
0.2096;76.453;97.554;47.302;0.005;0.003;0.346;275.118
0.2119;76.458;97.563;47.306;0.004;0.003;0.322;275.117
0.2143;76.46;97.569;47.31;0.004;0.003;0.303;275.114
0.2167;76.462;97.573;47.314;0.004;0.003;0.292;275.112
0.2191;76.461;97.574;47.318;0.004;0.003;0.287;275.11
0.2215;76.458;97.575;47.322;0.004;0.003;0.287;275.107
0.2238;76.453;97.574;47.326;0.004;0.003;0.287;275.103
0.2262;76.447;97.574;47.33;0.004;0.003;0.287;275.096
0.2286;76.439;97.574;47.334;0.004;0.003;0.287;275.088
0.231;76.429;97.575;47.338;0.004;0.003;0.285;275.078
0.2334;76.418;97.576;47.341;0.004;0.003;0.282;275.065
0.2357;76.406;97.577;47.345;0.004;0.003;0.279;275.052
0.2381;76.393;97.579;47.347;0.004;0.003;0.275;275.037
0.2405;76.378;97.58;47.349;0.004;0.003;0.27;275.02
0.2429;76.362;97.582;47.351;0.004;0.003;0.265;275.003
0.2453;76.347;97.584;47.352;0.004;0.003;0.26;274.986
0.2477;76.333;97.585;47.353;0.003;0.003;0.255;274.97
0.25;76.321;97.587;47.353;0.003;0.003;0.25;274.956
0.2524;76.309;97.588;47.353;0.003;0.002;0.246;274.943
0.2548;76.299;97.59;47.352;0.003;0.002;0.242;274.932
0.2572;76.292;97.591;47.351;0.003;0.002;0.238;274.923
0.2596;76.285;97.592;47.35;0.003;0.002;0.236;274.916
0.2619;76.279;97.592;47.348;0.003;0.002;0.235;274.909
0.2643;76.273;97.592;47.346;0.003;0.002;0.236;274.903
0.2667;76.27;97.59;47.344;0.003;0.002;0.24;274.901
0.2691;76.269;97.587;47.341;0.003;0.002;0.25;274.903
0.2715;76.269;97.582;47.339;0.004;0.003;0.266;274.908
0.2739;76.27;97.573;47.337;0.004;0.003;0.29;274.915
0.2762;76.272;97.563;47.335;0.004;0.003;0.321;274.926
0.2786;76.275;97.551;47.334;0.005;0.004;0.355;274.937
0.281;76.278;97.54;47.333;0.005;0.004;0.388;274.95
0.2834;76.282;97.531;47.332;0.006;0.004;0.415;274.961
0.2858;76.287;97.526;47.331;0.006;0.004;0.429;274.971
0.2881;76.294;97.526;47.33;0.006;0.004;0.429;274.978
0.2905;76.3;97.53;47.329;0.006;0.004;0.417;274.981
0.2929;76.308;97.538;47.329;0.005;0.004;0.394;274.982
0.2953;76.315;97.546;47.329;0.005;0.004;0.37;274.983
0.2977;76.322;97.552;47.329;0.005;0.004;0.354;274.986
0.3001;76.33;97.552;47.329;0.005;0.004;0.354;274.994
0.3024;76.336;97.543;47.33;0.005;0.004;0.38;275.008
0.3048;76.342;97.524;47.33;0.006;0.004;0.437;275.029
0.3072;76.349;97.494;47.33;0.007;0.005;0.523;275.059
0.3096;76.355;97.458;47.331;0.009;0.006;0.631;275.096
0.312;76.36;97.418;47.331;0.01;0.007;0.747;275.133
0.3143;76.365;97.382;47.331;0.012;0.009;0.855;275.167
0.3167;76.37;97.353;47.33;0.013;0.009;0.939;275.195
0.3191;76.375;97.336;47.33;0.014;0.01;0.99;275.214
0.3215;76.38;97.331;47.33;0.014;0.01;1.004;275.224
0.3239;76.385;97.339;47.329;0.013;0.01;0.98;275.223
0.3262;76.39;97.357;47.329;0.013;0.009;0.928;275.213
0.3286;76.395;97.382;47.329;0.012;0.009;0.854;275.198
0.331;76.399;97.412;47.329;0.01;0.008;0.766;275.178
