"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.11714,-0.020198,5e-05,277.62,243.3,-0.52858,1.6735e-14,68984
0.11726,-0.020058,5e-05,277.62,243.29,-0.53918,1.8157e-14,68988
0.11798,-0.019241,5e-05,277.61,243.2,-0.58969,-1.8111e-14,69007
0.11816,-0.019036,5e-05,277.6,243.2,-0.58264,-2.1579e-14,69013
0.11883,-0.018283,5e-05,277.57,243.18,-0.53603,-1.4379e-14,69032
0.1191,-0.01798,5e-05,277.55,243.19,-0.51301,-1.1383e-14,69042
0.11968,-0.017326,5e-05,277.51,243.19,-0.4481,-1.4457e-14,69063
0.12006,-0.016889,5e-05,277.49,243.19,-0.40579,-2.0043e-14,69078
0.12052,-0.016368,5e-05,277.45,243.2,-0.3476,-8.6289e-15,69095
0.12106,-0.015763,5e-05,277.42,243.18,-0.29749,-1.1806e-14,69116
0.12137,-0.01541,5e-05,277.4,243.18,-0.26509,-1.8314e-14,69127
0.12209,-0.0146,5e-05,277.37,243.12,-0.22486,-4.6754e-15,69153
0.12222,-0.014453,5e-05,277.36,243.11,-0.21696,-3.6319e-15,69158
0.12306,-0.013495,5e-05,277.33,243.02,-0.21764,-4.8315e-15,69185
0.12315,-0.013397,5e-05,277.33,243.01,-0.22288,-6.7408e-15,69188
0.12391,-0.012538,5e-05,277.31,242.95,-0.26656,-4.1639e-15,69209
0.12425,-0.012152,5e-05,277.31,242.92,-0.30803,5.0232e-15,69218
0.12476,-0.01158,5e-05,277.3,242.9,-0.36353,1.2689e-14,69230
0.12539,-0.010865,5e-05,277.29,242.88,-0.48854,1.2774e-14,69245
0.12561,-0.010623,5e-05,277.29,242.89,-0.52853,1.0422e-14,69249
0.12645,-0.0096651,5e-05,277.27,242.94,-0.76691,-1.4421e-14,69262
0.12657,-0.0095317,5e-05,277.27,242.95,-0.81241,-1.3107e-14,69264
0.1273,-0.0087075,5e-05,277.26,243.06,-1.0652,-5.4187e-15,69270
0.12779,-0.008151,5e-05,277.26,243.15,-1.2923,-6.3857e-17,69272
0.12815,-0.0077499,5e-05,277.25,243.24,-1.4315,-3.647e-15,69271
0.12899,-0.0067924,5e-05,277.26,243.48,-1.848,-1.0238e-14,69260
0.12906,-0.00672,5e-05,277.27,243.49,-1.8861,-1.1095e-14,69259
0.12984,-0.0058348,5e-05,277.34,243.65,-2.238,-1.368e-14,69232
0.13037,-0.0052363,5e-05,277.51,243.26,-2.4961,-1.6076e-14,69211
0.13069,-0.0048773,5e-05,277.61,243.04,-2.5799,-1.1696e-14,69196
0.13153,-0.0039198,5e-05,278.42,240.59,-2.7053,-2.6199e-15,69143
0.13173,-0.0036971,5e-05,279.03,238.7,-2.679,-4.4179e-15,69128
0.13238,-0.0029622,5e-05,281.01,232.53,-2.4109,-1.2131e-14,69078
0.13314,-0.0020992,5e-05,286.49,212.24,-2.0929,-1.6463e-14,68989
0.13323,-0.0020047,5e-05,287.05,210.11,-2.0466,-1.6645e-14,68980
0.13407,-0.0010471,5e-05,293.2,170.77,-2.9179,-9.1617e-15,68815
0.13461,-0.00043953,5e-05,295.34,149.49,-4.4004,-9.2641e-15,68783
0.13492,-8.9609e-05,5e-05,296.62,137.22,-5.2267,-9.3395e-15,68774
0.13577,0.00086792,5e-05,298.14,125.35,-7.0901,-3.9523e-15,68818
0.13614,0.0012854,5e-05,298.24,126.29,-7.7259,-3.967e-15,68848
0.13661,0.0018254,5e-05,298.48,127.21,-8.4916,-2.7767e-15,68890
0.13746,0.002783,5e-05,297.89,134.68,-9.108,-2.4479e-15,69017
0.13772,0.0030794,5e-05,297.39,138.65,-9.0623,-2.9467e-15,69035
0.13831,0.0037405,5e-05,296.35,147.15,-8.9007,-2.0099e-15,69075
0.13915,0.004698,5e-05,293.96,163.16,-8.0981,-5.8148e-15,69115
0.13937,0.0049463,5e-05,293.14,167.94,-7.746,-7.2425e-15,69121
0.14,0.0056555,5e-05,290.84,181.35,-6.7974,-7.5769e-15,69134
0.14085,0.0066131,5e-05,287.26,199.87,-5.1949,2.6716e-15,69124
0.14109,0.0068906,5e-05,286.24,204.56,-4.7397,4.5416e-15,69113
0.1417,0.0075706,5e-05,283.74,216.22,-3.6758,4.9468e-15,69085
0.14254,0.0085281,5e-05,280.91,228.38,-2.4397,3.6507e-15,69032
0.14289,0.008917,5e-05,280.17,231.56,-2.0586,-5.0821e-18,69009
0.14339,0.0094856,5e-05,279.05,236.35,-1.5565,-4.5915e-15,68976
0.14424,0.010443,5e-05,278.05,240.97,-0.97094,-1.2628e-14,68919
0.14476,0.01103,5e-05,277.8,242.31,-0.72724,-2.0419e-14,68885
0.14508,0.011401,5e-05,277.64,243.2,-0.60534,-2.2705e-14,68864
0.14593,0.012358,5e-05,277.5,243.96,-0.37241,2.1542e-15,68813
0.14671,0.013236,5e-05,277.46,244.02,-0.19891,2.2602e-14,68774
0.14678,0.013316,5e-05,277.45,244.03,-0.18962,2.3599e-14,68771
0.14762,0.014273,5e-05,277.43,243.97,-0.080776,6.898e-15,68733
0.14847,0.015231,5e-05,277.39,243.92,0.02937,7.2288e-16,68702
0.14874,0.015541,5e-05,277.37,243.94,0.071521,7.6159e-16,68696
0.14932,0.016188,5e-05,277.34,243.99,0.10212,2.7988e-16,68682
0.15016,0.017146,5e-05,277.32,244.05,0.17344,1.2892e-14,68688
