"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.12065,-0.016221,0.01,284.51,193.43,-6.78,-8.9584e-18,79971
0.12121,-0.015591,0.01,284.51,193.46,-6.7818,-1.8997e-16,79971
0.12363,-0.012853,0.01,284.51,193.52,-6.7774,2.3066e-16,79970
0.12176,-0.014969,0.01,284.51,193.48,-6.7829,-1.2062e-16,79971
0.12354,-0.012959,0.01,284.51,193.52,-6.7781,2.1523e-16,79970
0.11762,-0.019649,0.01,284.53,193.28,-6.7674,1.4757e-16,79970
0.11791,-0.01932,0.01,284.53,193.3,-6.7687,8.889e-17,79970
0.11667,-0.020724,0.01,284.54,193.23,-6.7637,1.6717e-16,79969
0.12566,-0.010559,0.01,284.54,193.43,-6.7475,6.9722e-17,79968
0.11498,-0.022636,0.01,284.56,193.13,-6.7604,1.432e-16,79967
0.12578,-0.01042,0.01,284.55,193.42,-6.7447,7.2504e-17,79968
0.12018,-0.016758,0.01,284.52,193.41,-6.7784,-1.3036e-17,79971
0.11811,-0.019102,0.01,284.53,193.31,-6.7695,1.0169e-16,79970
0.14542,0.011782,0.01,284.56,193.01,-6.8614,2.5609e-16,79938
0.14587,0.012295,0.01,284.56,193.03,-6.8481,1.4063e-16,79940
