"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.14378,0.0099281,5.0064e-05,281.78,206.72,-10.856,1.292e-14,1.4486e+05
0.14406,0.010242,5.0065e-05,281.77,206.76,-10.852,6.4374e-15,1.4486e+05
0.14416,0.010352,5.0065e-05,281.76,206.77,-10.851,1.5295e-15,1.4486e+05
0.14434,0.010556,5.0065e-05,281.76,206.8,-10.848,-3.4546e-15,1.4486e+05
0.14461,0.01087,5.0066e-05,281.75,206.85,-10.845,1.7278e-14,1.4487e+05
0.14478,0.011061,5.0066e-05,281.74,206.87,-10.843,2.4703e-14,1.4487e+05
0.14489,0.011183,5.0066e-05,281.74,206.89,-10.842,2.4483e-14,1.4487e+05
0.14517,0.011497,5.0067e-05,281.73,206.93,-10.839,1.6784e-14,1.4487e+05
0.14542,0.011779,5.0067e-05,281.72,206.97,-10.837,8.8698e-15,1.4487e+05
0.14545,0.011811,5.0067e-05,281.72,206.97,-10.837,8.3403e-15,1.4487e+05
0.14572,0.012125,5.0068e-05,281.71,207.01,-10.834,1.315e-14,1.4487e+05
0.146,0.012439,5.0068e-05,281.7,207.05,-10.832,8.9431e-15,1.4488e+05
0.14606,0.012509,5.0069e-05,281.7,207.06,-10.832,5.2988e-15,1.4488e+05
0.14628,0.012752,5.0069e-05,281.69,207.09,-10.83,-7.6875e-15,1.4488e+05
0.14656,0.013066,5.007e-05,281.68,207.13,-10.829,2.2325e-15,1.4488e+05
0.14672,0.013248,5.007e-05,281.68,207.15,-10.828,6.8896e-15,1.4488e+05
0.14683,0.01338,5.007e-05,281.67,207.17,-10.827,8.5278e-15,1.4488e+05
0.14711,0.013694,5.0071e-05,281.67,207.21,-10.826,3.2118e-15,1.4489e+05
0.14738,0.013999,5.0071e-05,281.66,207.24,-10.825,1.5058e-14,1.4489e+05
0.14739,0.014008,5.0071e-05,281.66,207.24,-10.825,1.531e-14,1.4489e+05
0.14767,0.014321,5.0072e-05,281.65,207.28,-10.824,2.5093e-14,1.4489e+05
0.14794,0.014635,5.0072e-05,281.64,207.31,-10.823,2.6992e-14,1.4489e+05
0.14805,0.014761,5.0073e-05,281.64,207.32,-10.823,2.3631e-14,1.4489e+05
0.14822,0.014949,5.0073e-05,281.64,207.34,-10.823,1.1024e-14,1.4489e+05
0.1485,0.015263,5.0073e-05,281.63,207.37,-10.823,-1.198e-15,1.449e+05
0.14874,0.015533,5.0074e-05,281.63,207.4,-10.822,-8.1197e-15,1.449e+05
0.14878,0.015577,5.0074e-05,281.63,207.4,-10.822,-8.4536e-15,1.449e+05
0.14905,0.01589,5.0075e-05,281.62,207.43,-10.822,-1.6509e-14,1.449e+05
0.14933,0.016204,5.0075e-05,281.61,207.46,-10.822,-2.9319e-14,1.449e+05
0.14943,0.016318,5.0075e-05,281.61,207.47,-10.822,-2.623e-14,1.449e+05
0.14961,0.016518,5.0076e-05,281.61,207.49,-10.823,-1.6111e-14,1.449e+05
0.14989,0.016832,5.0076e-05,281.6,207.51,-10.823,-9.7124e-15,1.449e+05
0.15014,0.017114,5.0077e-05,281.6,207.52,-10.823,-1.6525e-15,1.4491e+05
0.15016,0.017146,5.0077e-05,281.6,207.52,-10.824,2.5079e-17,1.4491e+05
